###################################################################################
#
# Mesen Game Database
#
# Automatically generated database based on Nestopia's DB and NesCartDB
#
# Generated on 2020-05-02 using:
#     -NewRisingSun's NES 2.0 header database (2020-04-26) https://forums.nesdev.com/viewtopic.php?f=3&t=19940&p=248796
#     -NesCartDB (dated 2017-08-21)
#     -Nestopia UE's latest DB (dated 2015-10-22)
#
# Fields: CRC; System; Board; PCB; Chip; Mapper; PrgRomSize; ChrRomSize; ChrRamSize; WorkRamSize; SaveRamSize; Battery; Mirroring; Controller Type; Bus Conflicts; SubMapper; VsSystemType; PpuModel
#
###################################################################################
03272E9B;Ntsc;NES-TLROM;NES-TLROM-03;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
032AE256;Ntsc;;;;0;16;8;0;0;0;0;v;1;;0;;
03341509;Ntsc;;;;0;32;8;0;8;0;0;v;1;;0;;
03346083;Dendy;;;;176;256;256;0;0;32;1;h;1;;0;;
0354868A;Famicom;BANDAI-CNROM;BA-アスレチックス;;3;32;32;0;0;0;0;v;13;;2;;
035DC2E9;Famicom;HVC-NROM-128;2;;0;16;8;0;0;0;0;h;1;;0;;
037006F7;Ntsc;;;;512;256;128;8;0;8;1;h;1;;0;;
0373AA21;Ntsc;;;;1;128;128;0;0;8;1;h;1;;0;;
039426A8;Ntsc;;;;1;256;0;8;0;8;1;h;1;;0;;
039B4A9C;Famicom;HVC-SLROM;HVC-SLROM-02;MMC1A;1;128;128;0;0;0;0;h;1;;0;;
03B8DEFA;Pal;NES-SLROM;NES-SLROM-06;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
03D56CF7;Famicom;;;;1;128;0;8;0;0;0;h;1;;0;;
03E2898F;Famicom;HVC-TKROM;HVC-TKROM-03;MMC3C;4;256;256;0;0;8;1;h;1;;0;;
03E9C033;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
03EC46AF;Ntsc;NES-BTR;NES-BTR;FME-7;69;128;256;0;8;0;0;h;1;;0;;
03F899CD;Ntsc;NES-TLROM;NES-TLROM-03;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
03FB57B6;Ntsc;NES-TLROM;NES-TLROM-03;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
03FDEFAD;Famicom;;;;230;640;0;8;0;0;0;v;42;;0;;
040ABC34;Ntsc;;;;4;128;128;0;0;8;1;h;1;;0;;
04109355;Famicom;IREM-UNROM;FC-00-02;;2;128;0;8;0;0;0;h;1;;2;;
04142764;Pal;NES-TLROM;NES-TLROM-03;MMC3C;4;128;128;0;0;0;0;h;1;;0;;
041553C3;Ntsc;;;;168;64;0;32;0;0;1;v;44;;0;;
04166E96;Dendy;;;;163;2048;0;8;0;8;1;v;1;;0;;
042107A8;Ntsc;;;;4;128;128;0;0;0;0;h;1;;0;;
0430DB08;Pal;NES-TLROM;NES-TLROM-03;MMC3C;4;128;128;0;0;0;0;h;1;;0;;
0437661E;Dendy;;;;58;128;64;0;0;0;0;h;1;;0;;
04398A9F;Ntsc;;;;176;512;512;0;0;0;0;h;1;;0;;
044E0BAA;Dendy;;;;178;512;0;8;0;8;1;h;1;;0;;
045E8CD8;Famicom;HVC-TLROM;HVC-TLROM-04;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
046CF9D5;Ntsc;;;;383;512;512;0;0;0;0;h;1;;0;;
04766130;Ntsc;NES-SKROM;NES-SKROM-06;MMC1B2;1;128;128;0;0;8;1;h;1;;0;;
047CB81C;Dendy;;;;178;512;0;8;8;0;0;h;40;;0;;
049325D9;Famicom;;;;112;128;256;0;8;0;0;h;1;;0;;
0496DD98;Playchoice;;;;4;256;256;0;0;0;0;h;1;;0;;
049DA14E;Dendy;;;;163;2048;0;8;0;8;1;v;1;;0;;
04A22528;Ntsc;;;;45;1024;1024;0;0;0;0;h;42;;0;;
04B7CAAF;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
04BE2206;Famicom;;;;0;32;8;;0;0;0;v;;;;;
04D800DA;Famicom;;;;3;32;32;;0;0;0;v;;;;;
04DFE0D4;Dendy;;;;163;2048;0;8;0;8;1;v;1;;0;;
04EF48F1;Playchoice;;;;0;16;8;0;0;0;0;h;1;;0;;
04F3354D;Famicom;;;;3;32;32;;0;0;0;v;;;;;
0504B007;Ntsc;NES-NROM-128;NES-NROM-128-01;;0;16;8;0;0;0;0;v;1;;0;;
05104517;Pal;NES-AMROM;NES-AMROM-01;;7;128;0;8;0;0;0;h;2;;2;;
051C4267;Ntsc;;;;52;512;512;0;0;0;0;h;1;;0;;
051CD5F2;Famicom;HVC-TLROM;HVC-TLROM-04;MMC3C;4;128;128;0;0;0;0;h;1;;0;;
0524BDA1;Ntsc;;;;295;1024;0;8;8;0;0;h;1;;0;;
052AE3F5;Famicom;;;;2;128;;8;0;0;0;v;;;;;
0537322A;Ntsc;NES-AMROM;NES-AMROM-01;;7;128;0;8;0;0;0;h;1;;2;;
05378607;Ntsc;NES-SLROM;NES-SLROM-06;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
054444A0;Dendy;;;;163;1024;0;8;0;8;1;v;1;;0;;
0546BD12;Famicom;;;;4;128;128;0;0;8;1;h;1;;0;;
054BD3E9;Dendy;;;;74;512;256;2;0;8;1;h;1;;0;;
054CB4EB;Ntsc;NES-TLROM;NES-TLROM-02;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
054E7851;VT03;;;;256;32;0;0;0;0;0;h;1;;0;;
0554394F;Ntsc;;;;79;32;32;0;0;0;0;v;1;;0;;
05553597;Ntsc;;;;265;1024;0;8;0;0;0;h;1;;0;;
056F2B8E;Dendy;;;;163;2048;0;8;0;8;1;v;1;;0;;
058F23A2;Ntsc;NES-TSROM;NES-TSROM-07;MMC3B;4;128;128;0;8;0;0;h;1;;0;;
059E0CDF;Ntsc;NES-SLROM;NES-SLROM-06;MMC1B3;1;128;128;0;0;0;0;h;1;;0;;
05A688C8;Ntsc;NES-UNROM;NES-UNROM-08;;2;128;0;8;0;0;0;h;1;;2;;
05A8434E;Ntsc;;;;4;128;128;0;0;0;0;h;3;;0;;
05A9D7A5;Ntsc;;;;1;256;0;8;0;8;1;h;1;;0;;
05B9B9FB;Ntsc;;;;45;512;512;0;0;0;0;h;1;;0;;
05C4AF33;Ntsc;;;;93;128;0;8;0;0;0;v;1;;0;;
05CE560C;Ntsc;NES-TLROM;NES-TLROM-03;MMC3C;4;128;256;0;0;0;0;h;1;;0;;
05DF8C81;Ntsc;;;;52;512;512;0;0;0;0;h;1;;0;;
05E43745;Ntsc;;;;176;512;512;0;8;0;0;h;42;;0;;
05E8C5F8;Ntsc;;;;30;512;0;32;0;0;1;v;1;;0;;
05F04EAC;Famicom;TAITO-X1-017;J9100231A;X1-017;82;128;128;0;0;8;1;h;1;;0;;
06130A0E;Ntsc;;;;4;128;256;0;0;0;0;h;1;;0;;
06143FB3;Ntsc;;;;5;1024;1024;0;0;32;1;h;1;;0;;
06144B4A;Famicom;IREM-74*161/161/21/138;LROG017-00;;77;128;32;8;0;0;0;4;1;;0;;
06145246;Ntsc;;;;23;128;128;0;0;0;0;h;1;;3;;
062CC3FB;Dendy;;;;4;256;256;0;0;0;0;h;1;;0;;
062DCB6D;Famicom;;;;211;256;256;0;0;0;0;h;1;;0;;
063B1151;Famicom;;;;209;128;256;0;0;0;0;h;1;;0;;
063E5653;Ntsc;NES-SLROM;NES-SLROM-06;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
06406EB9;Ntsc;;;;113;128;64;0;0;0;0;h;1;;0;;
06689AA4;Pal;NES-SLROM;NES-SLROM-06;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
06961BE4;Ntsc;NES-SLROM;NES-SLROM-06;MMC1B2;1;256;128;0;0;0;0;h;1;;0;;
069D1215;Ntsc;;;;215;256;256;0;0;0;0;h;1;;0;;
06D0852F;Dendy;;;;268;512;0;8;0;8;1;h;1;;0;;
06D13D9E;Ntsc;BMC-FK23C;;;176;1024;1024;0;0;0;0;h;1;;1;;
06D72C83;Ntsc;NES-UNROM;NES-UN-ROM-07;;2;128;0;8;0;0;0;v;1;;2;;
06F15215;Famicom;HVC-NROM-256;HVC-NROM-256K-02;;0;32;8;0;0;0;0;h;1;;0;;
06F3CA14;Ntsc;;;;0;32;0;8;0;0;0;v;1;;0;;
06F70455;Ntsc;;;;4;256;128;0;0;0;0;h;1;;0;;
06F9C714;Famicom;JALECO-JF-25;JF-25;SS88006;18;128;128;0;0;0;0;h;1;;0;;
0719260C;Famicom;HVC-CNROM;CN-04B;;3;32;32;0;0;0;0;v;1;;2;;
071CC00B;VsSystem;;;;99;64;32;0;0;2;1;4;4;;0;5;0
071D4C2D;Pal;NES-TLROM;NES-TLROM-03;MMC3C;4;128;256;0;0;0;0;h;1;;0;;
071FA852;Ntsc;;;;515;1536;0;8;0;0;0;v;1;;0;;
071FFCC8;Dendy;;;;164;512;0;8;8;0;1;h;1;;1;;
073A0EBE;Pal;NES-SLRROM;NES-SLRROM-01;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
073FCC87;Ntsc;;;;313;512;512;0;8;0;0;h;1;;0;;
074306F5;Ntsc;;;;0;16;8;0;0;0;0;v;1;;0;;
074EC424;Famicom;HVC-SLROM;HVC-SLROM-01;MMC1;1;128;128;0;0;0;0;h;1;;0;;
0751D47D;Ntsc;;;;4;32;32;0;0;0;0;h;1;;0;;
0769BE5F;Ntsc;;;;313;512;1024;0;0;0;0;h;1;;2;;
0775DC68;Ntsc;;;;150;32;16;0;0;0;0;h;1;;0;;
078864F2;Famicom;;;;3;32;32;;0;0;0;h;;;;;
078B3E8E;Ntsc;;;;0;16;8;0;0;0;0;h;1;;0;;
078CED30;Famicom;HVC-SKROM;HVC-SKROM-05;MMC1B2;1;128;128;0;0;8;1;h;1;;0;;
07910BF9;Famicom;HVC-UNROM;HVC-UNROM-09;;2;128;0;8;0;0;0;v;1;;2;;
0794F2A5;Famicom;HVC-SUROM;HVC-SUROM-01;MMC1B2;1;512;0;8;0;8;1;h;1;;0;;
07977186;Famicom;HVC-SLRROM;HVC-SLRROM-01;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
0799EE91;Dendy;;;;178;512;0;8;0;8;1;h;1;;0;;
07A2F3B2;VsSystem;;;;99;40;16;0;2;0;0;4;7;;0;0;10
07AC930F;Ntsc;;;;4;128;128;0;0;0;0;h;1;;0;;
07B2B315;Ntsc;;;;295;512;512;0;0;0;0;h;1;;0;;
07B7EDA9;Dendy;;;;227;1024;0;8;0;8;1;h;1;;0;;
07C98AB5;Ntsc;;;;0;16;8;0;0;0;0;v;1;;0;;
07D3F6CB;Ntsc;BMC-FK23C;;;176;1024;1024;0;0;0;0;h;1;;1;;
07D92C31;Famicom;;;;4;256;128;0;0;8;1;h;1;;0;;
07EB2C12;Famicom;;;;208;128;256;0;0;0;0;h;1;;0;;
0809E07E;Famicom;;;;2;128;;8;0;0;0;v;;;;;
081CAAFF;Dendy;;;;164;512;0;8;0;8;1;h;1;;0;;
082626ED;Ntsc;;;;3;32;32;0;0;0;0;v;1;;2;;
082778E6;Ntsc;;;;91;128;512;0;0;0;0;v;1;;1;;
083E4FC1;Pal;NES-TSROM;NES-TSROM-08;MMC3C;4;128;128;0;8;0;0;h;1;;0;;
08439D55;Ntsc;;;;0;32;8;0;0;0;0;h;1;;0;;
084F61CD;Famicom;NAMCOT-3301;3301;;0;8;8;0;0;0;0;h;1;;0;;
0851843D;Ntsc;;;;0;16;0;8;0;0;0;v;1;;0;;
085DE7C9;Ntsc;NES-SLROM;NES-SLROM-06;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
086BC4B7;Ntsc;;;;228;32;512;0;0;0;0;h;1;;0;;
087211F9;Famicom;;;;196;128;128;0;0;0;0;h;1;;0;;
0878A7EE;Dendy;;;;164;512;0;8;0;0;1;h;1;;1;;
0889A5B1;Ntsc;;;;23;256;128;0;0;0;0;h;1;;3;;
0897021B;Famicom;SUNSOFT-FME-7;GRM-E301;SUNSOFT-5B;69;128;256;0;0;0;0;h;1;;0;;
089C295D;Ntsc;;;;348;512;512;0;0;0;0;h;1;;0;;
089E97B2;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
08AB020E;Dendy;;;;4;256;256;0;0;8;1;h;1;;0;;
08CF510F;Famicom;;;;83;128;256;0;0;0;0;h;1;;0;;
08D53FEC;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
08D9DDAB;Ntsc;;;;4;128;128;0;0;0;0;h;1;;0;;
08E11357;Famicom;;;;3;32;8;0;0;0;0;v;1;;2;;
08F3544B;Ntsc;;;;4;128;256;0;0;0;0;h;1;;0;;
08FBF3F0;Dendy;;;;162;1024;0;8;0;8;1;h;1;;0;;
0902C8F0;Famicom;HVC-SKROM;HVC-SKROM-01;MMC1A;1;128;128;0;0;8;1;h;1;;0;;
091A6A4C;Playchoice;;;;1;256;0;8;8;0;0;h;1;;0;;
091ED5A9;Famicom;HVC-TLROM;HVC-TLROM-02;MMC3A;4;128;128;0;0;8;1;h;1;;0;;
092EC15C;Famicom;HVC-CNROM;HVC-CNROM-256K-01;;3;32;16;0;0;0;0;v;1;;2;;
0939852F;Ntsc;NES-SNROM;NES-SNROM-05;MMC1B2;1;128;0;8;8;0;0;h;2;;0;;
093E845F;Famicom;HVC-SJROM;HVC-SJROM-01;MMC1;1;128;32;0;0;8;1;h;1;;0;;
09475BF9;Ntsc;;;;0;16;8;0;0;0;0;h;1;;0;;
0955B54C;Ntsc;AVE-NINA-06;NINA-06;;79;32;32;0;0;0;0;h;1;;0;;
095D8678;Dendy;;;;176;1024;0;8;0;32;1;h;1;;0;;
09663DC5;Ntsc;;;;1;128;128;0;0;0;0;h;1;;0;;
096D8364;Pal;NES-UNROM;NES-UNROM-10;;2;128;0;8;0;0;0;v;1;;2;;
096FAFDA;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
0973F714;Famicom;;;;1;256;0;8;0;8;1;h;1;;0;;
09740409;Dendy;;;;4;256;256;0;0;8;1;h;1;;0;;
09874777;Ntsc;NES-ANROM;NES-ANROM-01;;7;128;0;8;0;0;0;h;1;;1;;
098BC195;Ntsc;;;;4;32;8;0;0;0;0;h;1;;0;;
098C672A;Famicom;NAMCOT-163;LROG076-00;163;19;256;256;0;0;8;1;h;1;;3;;
099B8CAA;Famicom;HVC-SLROM;HVC-SLROM-03;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
09C083B7;Ntsc;NES-SLROM;NES-SLROM-03;MMC1A;1;128;128;0;0;0;0;h;8;;0;;
09C1FC7D;Famicom;HVC-SGROM;HVC-SGROM-03;MMC1B2;1;256;0;8;0;0;0;h;1;;0;;
09C31CD4;Ntsc;COLORDREAMS-74*377;UNK-COLORDREAMS-REVA;;11;32;32;0;0;0;0;h;1;;0;;
09C7AED3;Dendy;;;;163;2048;0;8;0;8;1;v;1;;0;;
09CA75FB;Ntsc;;;;3;32;16;0;0;0;0;v;1;;2;;
09E3DCB4;Ntsc;;;;125;128;0;8;8;0;0;v;1;;0;;
09FBAF92;Ntsc;;;;348;512;512;0;0;0;0;h;1;;0;;
09FFDF45;Famicom;HVC-SNROM;HVC-SNROM-09;MMC1B3;1;256;0;8;0;8;1;h;1;;0;;
0A0121DC;Ntsc;;;;4;256;256;0;0;0;0;h;1;;0;;
0A090C11;Ntsc;;;;4;128;128;0;0;0;0;h;1;;0;;
0A0926BD;Ntsc;NES-SLROM;NES-SLROM-06;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
0A244228;Dendy;;;;164;512;0;8;8;0;1;h;1;;1;;
0A3FC393;Famicom;HVC-NROM-128;HVC-NROM-02;;0;16;8;0;0;0;0;v;35;;0;;
0A42D84F;Famicom;HVC-UNROM;HVC-UNROM-05;;2;128;0;8;0;0;0;v;1;;2;;
0A486DD7;Ntsc;;;;176;512;512;0;0;0;0;h;1;;0;;
0A73A792;Famicom;HVC-SGROM;HVC-SGROM-03;MMC1A;1;256;0;8;0;0;0;h;1;;0;;
0A7D9E37;Ntsc;;;;551;128;128;0;0;8;1;h;1;;0;;
0A7E62D4;Ntsc;NES-TLROM;NES-TLROM-03;MMC3C;4;256;256;0;0;0;0;h;1;;0;;
0AA1D73D;Ntsc;;;;4;128;256;0;0;8;1;h;1;;0;;
0AA209C0;Ntsc;;;;2;64;0;8;0;0;0;h;1;;2;;
0AA49929;Dendy;;;;4;256;256;0;0;0;0;h;1;;0;;
0AB26DB6;Ntsc;COLORDREAMS-74*377;BC6;;11;128;128;0;0;0;0;v;1;;0;;
0AB2E826;Ntsc;;;;283;256;0;8;0;0;0;v;1;;0;;
0ABDD5CA;Famicom;;;;1;128;0;8;8;0;0;h;3;;0;;
0AC1AA8F;Ntsc;NES-UNROM;NES-UN-ROM-03;;2;128;0;8;0;0;0;v;1;;2;;
0ACC007E;Ntsc;;;;2;128;0;8;0;0;0;v;1;;2;;
0ACFC3CD;Ntsc;;;;132;32;32;0;0;0;0;h;1;;0;;
0AE3CC5E;Famicom;HVC-TKROM;HVC-TKROM-02;MMC3B;4;128;128;0;0;8;1;h;1;;0;;
0AE6C9E2;Ntsc;NES-UNROM;NES-UNROM-09;;2;128;0;8;0;0;0;v;1;;2;;
0AEA38F7;Ntsc;COLORDREAMS-74*377;UNK-COLORDREAMS-REVA;;11;64;64;0;0;0;0;v;1;;0;;
0AFB395E;Famicom;HVC-ELROM;HVC-ELROM-01;MMC5;5;128;128;0;0;0;0;h;8;;0;;
0B01C96D;Ntsc;;;;2;128;0;8;0;0;0;v;1;;2;;
0B0C4573;Ntsc;;;;0;16;8;0;0;0;0;v;1;;0;;
0B0E128F;Ntsc;NES-EVENT;NES-EVENT-02;MMC1B2;105;256;0;8;8;0;0;h;1;;0;;
0B13658B;Famicom;HVC-SLROM;HVC-SLROM-03;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
0B1A8E70;Ntsc;;;;0;16;8;0;0;0;0;h;1;;0;;
0B1E9726;Dendy;;;;164;1024;0;8;0;8;1;v;1;;0;;
0B2CF73F;Ntsc;;;;176;512;512;0;0;0;0;h;1;;0;;
0B336F43;Ntsc;;;;215;512;512;0;0;0;0;h;1;;0;;
0B3513A0;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
0B395AA2;Ntsc;;;;228;512;512;0;0;0;0;h;1;;0;;
0B404915;Ntsc;NES-TLROM;NES-TLROM-03;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
0B58880C;Famicom;HVC-NROM-128;3I;;0;16;8;0;0;0;0;h;1;;0;;
0B6443D4;Famicom;;;;4;256;256;0;0;0;0;h;1;;0;;
0B7FFE6A;Ntsc;;;;1;128;128;;0;0;0;;;;;;
0B8E8649;Famicom;HVC-UNROM;HVC-UNROM-02;;2;128;0;8;0;0;0;v;1;;2;;
0B8F8128;Pal;NES-TLROM;NES-TLROM-03;MMC3B;4;128;128;0;0;0;0;h;28;;0;;
0B9732B0;Dendy;;;;249;256;256;0;0;8;1;h;1;;0;;
0BA0737B;Ntsc;;;;30;512;0;32;0;0;1;v;1;;0;;
0BB4FD7A;Famicom;;;;236;512;;8;0;0;0;;;;;;
0BB5B3A0;Famicom;;;;66;128;32;0;0;0;0;h;1;;0;;
0BBF80CB;Famicom;TAITO-X1-017;P3-044B;X1-017;82;128;256;0;0;8;1;h;1;;0;;
0BCAA4D7;Ntsc;NES-TLROM;NES-TLROM-03;MMC3C;4;256;256;0;0;0;0;h;1;;0;;
0BDD8DD9;Ntsc;NES-ANROM;NES-ANROM-03;;7;128;0;8;0;0;0;h;1;;1;;
0BE0A328;Famicom;;;;157;256;0;8;0;0;0;h;1;;0;;
0BF306D1;Famicom;;;;4;128;128;;0;0;0;;;;;;
0BF31DD8;Ntsc;;;;0;16;8;0;0;0;0;v;1;;0;;
0BFCE1A9;Ntsc;;;;136;32;32;0;0;0;0;h;1;;0;;
0C1792DA;Famicom;NAMCOT-163;110F0;163;19;128;128;0;0;0;1;h;1;;2;;
0C1FE23D;Famicom;;;;0;32;8;0;0;0;0;v;1;;0;;
0C222495;Ntsc;MLT-ACTION52;023-N507;4520;228;1536;512;0;0;0;0;h;1;;0;;
0C2E7863;Ntsc;NES-TLROM;NES-TLROM-03;MMC3B;4;256;128;0;0;0;0;h;1;;0;;
0C401790;Famicom;HVC-SNROM;HVC-SNROM-09;MMC1B2;1;128;0;8;8;0;0;h;3;;0;;
0C462638;Ntsc;;;;1;128;128;0;0;0;0;h;1;;0;;
